Wavelength (nm),Direct normal(W*m-2*nm-1)
306.61387,0.03057
309.83912,0.05098
310.24227,0.07025
311.45174,0.10087
312.6612,0.12865
313.87067,0.14962
315.48329,0.17003
315.88645,0.19101
319.918,0.20802
319.918,0.22899
319.918,0.24884
323.94956,0.26868
323.14325,0.29022
324.75587,0.31006
329.19058,0.33047
329.19058,0.35032
329.19058,0.36732
327.98111,0.38717
328.38427,0.40984
328.78742,0.42855
330.8032,0.44726
336.44738,0.45973
338.86631,0.47561
345.3168,0.50055
349.75151,0.51983
353.37991,0.55724
355.39569,0.57992
357.41146,0.61791
364.26511,0.63832
363.05564,0.6763
363.4588,0.71882
366.68404,0.73923
369.90928,0.7551
373.53768,0.78005
376.35977,0.79819
383.61657,0.8186
389.6639,0.83164
390.47021,0.85035
391.67968,0.89287
391.67968,0.93142
395.71123,0.95183
393.69546,0.98924
394.50177,1.0312
393.69546,1.07201
398.13017,1.11227
401.75857,1.15252
401.75857,1.1905
405.79012,1.22962
409.01537,1.26987
408.61221,1.30786
421.51319,1.34301
425.54474,1.30332
427.56052,1.2642
431.59207,1.23019
432.80154,1.28745
434.41416,1.3294
436.02678,1.37079
436.02678,1.42634
438.84887,1.47056
443.68674,1.50968
443.68674,1.5454
444.49305,1.60776
447.71829,1.64631
448.92776,1.68713
452.153,1.74439
454.97509,1.78691
462.23189,1.8283
469.08553,1.81582
478.35811,1.84474
480.77704,1.86685
485.21175,1.80902
489.24331,1.7716
499.32219,1.77104
511.0137,1.80845
511.82001,1.78351
514.6421,1.76083
517.86735,1.72852
521.09259,1.6996
524.72099,1.73872
530.36517,1.76083
530.36517,1.78124
533.18726,1.79995
549.71663,1.78521
555.36081,1.7699
566.64916,1.73249
574.71227,1.69167
580.7596,1.65085
588.0164,1.61116
598.09529,1.64291
608.17418,1.68486
612.60889,1.70357
621.07515,1.67976
627.12248,1.65822
634.78244,1.63951
661.79386,1.61627
673.88852,1.59359
673.08221,1.55334
673.08221,1.51592
675.50114,1.47397
680.33901,1.43712
682.75794,1.39686
684.37056,1.35775
688.40212,1.31636
692.43367,1.29482
696.06207,1.3328
696.86838,1.37305
699.69047,1.41331
703.31887,1.45412
706.94727,1.49324
712.18829,1.51025
713.80091,1.46773
712.9946,1.42578
712.59145,1.38439
715.81669,1.34811
715.81669,1.30899
715.81669,1.26534
717.02616,1.22735
717.02616,1.19107
720.2514,1.16272
726.70189,1.20354
728.71767,1.24493
733.55553,1.28291
736.37762,1.32316
738.79655,1.36115
741.61864,1.38269
756.93855,1.36682
760.97011,1.32713
760.56695,1.28745
761.77642,1.2489
762.17957,1.20581
762.58273,1.16839
760.1638,1.12361
769.03322,1.09923
770.24268,1.15252
775.08055,1.21261
780.72473,1.24946
781.53104,1.29312
797.2541,1.2591
802.89828,1.21601
804.91405,1.17463
805.72037,1.13608
809.75192,1.10149
814.58979,1.05614
816.20241,1.01532
818.62134,0.97677
820.63712,0.93425
823.05605,0.89683
826.68445,0.95239
827.89392,0.99718
833.13494,1.03346
839.18227,1.07598
854.50218,1.1151
869.41893,1.11227
882.31991,1.07598
887.96408,1.03346
892.80195,0.99264
894.81773,0.95126
900.4619,0.91271
904.49346,0.87642
910.94395,0.83504
913.76604,0.79535
920.61968,0.76531
930.29541,0.78572
927.87648,0.7432
928.68279,0.70691
929.4891,0.67063
931.10172,0.64228
930.69857,0.60884
932.31119,0.56688
932.71434,0.52606
933.1175,0.48751
933.92381,0.39454
936.7459,0.34918
941.18061,0.30553
946.82479,0.34125
948.03425,0.38036
950.85634,0.42288
955.29105,0.45917
959.32261,0.50112
959.72576,0.54024
960.12892,0.58219
966.98256,0.62358
972.62674,0.66099
979.07722,0.69954
983.10878,0.73866
986.33402,0.78005
991.17189,0.8203
1002.46024,0.84638
1017.377,0.8254
1027.45588,0.80386
1043.98526,0.78515
1056.48308,0.76304
1072.20614,0.72732
1079.8661,0.68594
1082.28503,0.64682
1087.1229,0.60543
1092.76707,0.56461
1099.62072,0.52776
1101.63649,0.48468
1106.47436,0.44839
1108.89329,0.40758
1110.90907,0.34635
1113.328,0.28852
1116.55325,0.22219
1118.16587,0.1723
1121.79427,0.13545
1128.24476,0.21029
1134.69524,0.1791
1137.92049,0.14792
1142.3552,0.20972
1145.9836,0.25054
1150.82146,0.29079
1154.85302,0.33274
1160.09404,0.37016
1165.33506,0.41211
1171.78555,0.45123
1178.63919,0.48978
1185.89599,0.51699
1204.44114,0.49148
1218.95474,0.51359
1238.3062,0.54704
1253.62611,0.52606
1266.12393,0.50736
1293.5385,0.4671
1301.19846,0.42628
1304.4237,0.3849
1311.27735,0.34635
1317.32468,0.30553
1322.16254,0.26698
1327.40357,0.22786
1333.4509,0.18704
1337.48245,0.14906
1345.94872,0.10881
765.80797,1.03233
765.40482,0.99264
765.80797,0.95296
765.40482,0.92972
766.61428,1.05331
768.63006,1.07598
