Wavelength (nm),MAPI_EQE (%)
319.06412,22.11055
319.06412,19.59799
317.33102,17.08543
312.13172,15.82915
308.66551,14.32161
304.33276,15.32663
300.86655,17.33668
302.59965,19.34673
333.79549,24.37186
328.59619,26.13065
340.7279,27.38693
343.32756,29.8995
345.06066,32.41206
350.25997,34.42211
351.99307,36.93467
339.86135,27.88945
337.2617,30.15075
336.39515,31.15578
335.5286,28.64322
334.66205,26.13065
328.59619,25.12563
326.86308,23.11558
325.99653,20.60302
376.2565,48.74372
370.19064,47.98995
422.18371,65.82915
416.11785,65.57789
410.91854,63.56784
406.58579,62.0603
399.65338,61.55779
397.92028,59.54774
394.45407,58.0402
390.98787,56.28141
389.25477,54.0201
384.92201,52.51256
383.18891,50.25126
375.38995,49.24623
371.05719,47.48744
368.45754,45.47739
366.72444,42.96482
364.12478,40.95477
360.65858,39.44724
358.05893,37.43719
485.44194,76.63317
477.64298,76.13065
470.71057,76.13065
464.64471,75.62814
458.57886,74.87437
452.513,74.1206
448.18024,73.11558
447.31369,72.86432
440.38128,71.8593
435.18198,71.10553
437.78163,70.35176
430.84922,70.1005
424.78336,69.09548
423.05026,67.33668
417.85095,66.0804
535.70191,80.65327
532.2357,82.66332
527.90295,80.65327
521.83709,80.15075
510.57192,78.64322
501.90641,79.64824
498.44021,79.14573
493.2409,77.88945
486.30849,77.88945
550.43328,80.90452
541.76776,81.40704
595.49393,77.88945
588.56153,77.88945
581.62912,78.64322
576.42981,80.15075
567.7643,80.40201
562.56499,80.90452
554.76603,81.90955
549.56672,80.90452
666.55113,78.1407
661.35182,79.39698
652.68631,79.64824
644.0208,80.15075
637.95494,78.39196
630.15598,78.1407
624.09012,77.38693
618.02426,76.38191
609.35875,75.62814
600.69324,75.8794
730.67591,63.8191
723.7435,64.07035
717.67764,65.32663
712.47834,66.58291
704.67938,67.58794
701.21317,69.09548
696.88042,70.60302
693.41421,72.11055
687.34835,73.61809
683.0156,75.12563
677.81629,76.38191
672.61698,77.63819
800,5.52764
795.66724,7.03518
791.33449,8.79397
788.73484,11.30653
785.26863,13.31658
782.66898,15.57789
779.20277,17.8392
778.33622,20.35176
776.60312,22.86432
774.00347,25.37688
773.13692,27.88945
772.27036,30.40201
770.53726,32.91457
769.67071,35.42714
767.93761,37.9397
766.20451,40.45226
765.33795,42.96482
763.60485,45.47739
761.87175,47.98995
761.0052,50.50251
757.53899,53.01508
756.67244,55.52764
751.47314,57.78894
749.74003,59.54774
744.54073,60.80402
738.47487,62.0603
